v,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
Exaustivo,512,4096,85,2.51,7.74285714285714,0.003577319106457,2.50812226115421E-10
Exaustivo,512,2048,75,1584.89,1.48571428571429,0.004253615786886,5.24727640786365E-10
Exaustivo,512,1024,15,501.19,178.742857142857,0.004310627698314,5.09281171935952E-10
Exaustivo,512,4096,60,50.12,130.542857142857,0.004763035195771,5.36466949593483E-10
Exaustivo,512,1024,65,1.26,5.97142857142857,0.005073377904086,2.56794770540343E-10
Exaustivo,512,1024,30,251.19,9.68571428571429,0.004091462067171,5.08170501976519E-10
Exaustivo,512,2048,65,100,208.4,0.0065574642934,6.98931201265037E-10
Exaustivo,512,4096,60,10,200.057142857143,0.011946895349057,1.01765975172241E-09
Exaustivo,512,2048,80,501.19,2.8,0.004048757746,5.12903116003813E-10
Exaustivo,512,2048,5,10,281.228571428571,0.0124915223306,1.08484877559594E-09
Exaustivo,512,2048,70,251.19,3.02857142857143,0.003971494909286,5.05803559025818E-10
Exaustivo,512,4096,80,501.19,552.885714285714,0.004517542539029,5.57939091497888E-10
Exaustivo,512,4096,10,25.12,187.228571428571,0.0057535155134,5.88495923008898E-10
Exaustivo,512,4096,95,1584.89,0.6,0.004195312268971,5.20929808886247E-10
Exaustivo,512,2048,45,3.98,49.4285714285714,0.004105030561114,3.80066536142278E-10
Exaustivo,512,1024,50,50.12,1.22857142857143,0.004793631046429,5.5709542630845E-10
Exaustivo,512,2048,55,3.98,29.7428571428571,0.003295226897857,3.28726297225881E-10
Exaustivo,512,4096,70,100,753.828571428571,0.004659916960457,5.4966646976522E-10
Exaustivo,512,4096,60,3.98,56.5714285714286,0.0039740961342,3.81093535751738E-10
Exaustivo,512,1024,95,100,733.657142857143,0.004882570298229,5.58201912820756E-10
Exaustivo,512,2048,70,50.12,508.714285714286,0.006458022251429,6.365538371229E-10
Exaustivo,512,4096,70,794.33,65.5142857142857,0.004298397247857,5.31878611250863E-10
Exaustivo,512,1024,65,50.12,446.485714285714,0.004681959404629,5.35188032230912E-10
Exaustivo,512,2048,10,10,302.828571428571,0.0111981035248,8.73731900120233E-10
Exaustivo,512,1024,95,3.98,27.1714285714286,0.004039708381057,3.75603057059398E-10
Exaustivo,512,4096,100,1258.93,0,0.004247548032914,5.16266336748424E-10
Exaustivo,512,1024,100,50.12,1130.22857142857,0.0052414607818,5.91098007383379E-10
Exaustivo,512,2048,85,1258.93,934.714285714286,0.004613108789857,5.4343278236704E-10
Exaustivo,512,4096,100,15.85,313.057142857143,0.0087102337334,8.06808487859266E-10
Exaustivo,512,4096,20,1258.93,0,0.004241956951914,5.11531237539435E-10
Exaustivo,512,1024,100,2.51,19.1428571428571,0.003682508888257,2.5396869780772E-10
Exaustivo,512,2048,55,10,135.285714285714,0.013002452954914,1.09247457842446E-09
Exaustivo,512,2048,100,1258.93,388.828571428571,0.003990253309629,5.13892056143835E-10
Exaustivo,512,4096,40,1584.89,1.42857142857143,0.004280152075171,5.12936243010606E-10
Exaustivo,512,2048,75,10,418,0.012473373183029,1.09710330752419E-09
Exaustivo,512,1024,35,1258.93,444.828571428571,0.0043820202792,5.2550309264878E-10
Exaustivo,512,4096,50,25.12,606.285714285714,0.006016942047971,5.90914659912338E-10
Exaustivo,512,2048,70,794.33,287.171428571429,0.0043374602536,5.22315809743962E-10
Exaustivo,512,1024,75,50.12,348.085714285714,0.004897773107057,5.7291164419198E-10
Exaustivo,512,2048,20,50.12,274.085714285714,0.004713884147229,5.51312383546414E-10
Exaustivo,512,2048,90,100,441.057142857143,0.004774430789857,5.50102623333613E-10
Exaustivo,512,2048,15,3.98,28,0.004072125114057,3.70333151189655E-10
Exaustivo,512,2048,40,25.12,676,0.007795824787143,7.51914191609509E-10
Exaustivo,512,4096,75,15.85,508.942857142857,0.010683263421886,9.33332304546591E-10
Exaustivo,512,2048,35,2.51,14.6571428571429,0.003640328462771,2.50056116553151E-10
Exaustivo,512,1024,100,1258.93,142.057142857143,0.0037943657136,4.82072276679842E-10
Exaustivo,512,2048,40,3.98,12.7142857142857,0.004030151884743,3.69021382638501E-10
Exaustivo,512,1024,70,10,389.4,0.012840117557372,1.14762344555746E-09
Exaustivo,512,2048,60,251.19,164.8,0.004319407877657,5.21468433412681E-10
Exaustivo,512,2048,95,1258.93,535.657142857143,0.004131477507114,5.20820438456752E-10
Exaustivo,512,1024,65,1258.93,684.342857142857,0.004347236995086,5.41758226002793E-10
Exaustivo,512,1024,65,100,266.971428571429,0.004449566423286,5.35142600370717E-10
Exaustivo,512,4096,5,1584.89,237.171428571429,0.004232113605971,5.18853902208293E-10
Exaustivo,512,1024,95,251.19,245.742857142857,0.004154347992857,5.3316131933441E-10
Exaustivo,512,1024,25,1584.89,1.6,0.004285006692629,5.23450089312364E-10
Exaustivo,512,1024,95,15.85,385.228571428571,0.004401172982829,4.48166531064963E-10
Exaustivo,512,2048,80,100,0,0.004548601421629,5.28811566481551E-10
Exaustivo,512,1024,50,1258.93,171.914285714286,0.004334560401886,5.38897135417435E-10
Exaustivo,512,2048,60,1.26,16.1428571428571,0.005236467261943,2.58693083838547E-10
Exaustivo,512,1024,15,25.12,399.142857142857,0.006021412794286,5.96077069179705E-10
Exaustivo,512,4096,60,1.26,0.2,0.004801538104743,2.53682692238615E-10
Exaustivo,512,1024,65,25.12,619.542857142857,0.0062000360896,6.1684947097761E-10
Exaustivo,512,1024,15,1.26,12.7142857142857,0.004860445154457,2.58180033457227E-10
Exaustivo,512,4096,15,3.98,81.7142857142857,0.004146178502543,3.71255262050837E-10
Exaustivo,512,2048,65,251.19,0.542857142857143,0.004267851648143,5.17870665054323E-10
Exaustivo,512,1024,55,794.33,37.7714285714286,0.004268436405914,5.23149913274172E-10
Exaustivo,512,2048,90,251.19,1027.34285714286,0.004175361866343,5.19665000385422E-10
Exaustivo,512,4096,10,15.85,116.971428571429,0.009808631079943,9.18053449550061E-10
Exaustivo,512,4096,60,1584.89,40.4,0.004258806408914,5.20175297314161E-10
Exaustivo,512,4096,45,1584.89,290.314285714286,0.004327996620629,5.31026115973412E-10
Exaustivo,512,4096,25,1258.93,5.91428571428571,0.004194927433943,5.31965148180362E-10
Exaustivo,512,4096,85,10,307.542857142857,0.012109230872457,1.11842537591138E-09
Exaustivo,512,4096,90,1584.89,245.514285714286,0.004410109940143,5.40633201019663E-10
Exaustivo,512,4096,70,251.19,389.314285714286,0.0042203090436,5.10324011691019E-10
Exaustivo,512,1024,100,501.19,532.228571428571,0.004440552918514,5.16597022827753E-10
Exaustivo,512,1024,80,25.12,194.2,0.005898954603343,5.84302412495639E-10
Exaustivo,512,4096,100,1.26,3.74285714285714,0.002048053745257,2.10178217117959E-10
Exaustivo,512,1024,100,1.26,7.37142857142857,0.005016607421571,2.568617502577E-10
Exaustivo,512,2048,45,1584.89,2.34285714285714,0.004117070276657,5.0698551401316E-10
Exaustivo,512,2048,85,3.98,13.4571428571429,0.003947946297314,3.67890621773086E-10
Exaustivo,512,4096,70,15.85,132.285714285714,0.0075089713772,6.89327929779139E-10
Exaustivo,512,4096,75,10,402.114285714286,0.013621665995372,1.12640778454396E-09
Exaustivo,512,2048,50,501.19,98.4,0.004333432678143,5.33702166047004E-10
Exaustivo,512,1024,70,15.85,304.971428571429,0.009203531006686,7.33633418264868E-10
Exaustivo,512,2048,15,1.26,5.11428571428571,0.005035497147457,2.58650213267267E-10
