gen,pop_size,cwmin,cwmax,slotlength,txPower,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media
35, 5, 0, 0, 0, 0, 391.47428571428577, 0.004327619257994286, 1897891277.3457675
36, 5, 0, 0, 0, 0, 323.8971428571429, 0.004256793538057142, 1918294891.9470544
37, 5, 0, 0, 0, 0, 383.68571428571425, 0.0042465876848, 2304815636.591317
38, 5, 0, 0, 0, 0, 298.3942857142857, 0.004284225260988571, 1927777353.5061564
39, 5, 0, 0, 0, 0, 273.6, 0.005779515334737142, 1742944304.689382
40, 5, 0, 0, 0, 0, 107.84, 0.007858561211177142, 1488876015.6318202
41, 5, 0, 0, 0, 0, 132.97142857142856, 0.009592166203000001, 1272312540.379956
42, 5, 0, 0, 0, 0, 200.4, 0.010740886885199998, 1121268795.7859468
43, 5, 0, 0, 0, 0, 318.2285714285714, 0.011043744394468572, 1120038079.0534663
44, 5, 0, 0, 0, 0, 203.9714285714286, 0.01066957281869143, 1521296946.7331955
45, 5, 0, 0, 0, 0, 54.577142857142846, 0.007046600138708571, 2740292106.9362435
46, 5, 0, 0, 0, 0, 67.67999999999999, 0.007733125853325714, 1896698139.7859108
47, 5, 0, 0, 0, 0, 194.0057142857143, 0.010597518036954287, 1171769745.9047682
48, 5, 0, 0, 0, 0, 110.63999999999999, 0.00872234969009143, 1423200899.3285935
49, 5, 0, 0, 0, 0, 123.63999999999999, 0.009232436593925714, 1343693182.0775585
50, 5, 0, 0, 0, 0, 149.05142857142857, 0.008813934161314286, 1765478543.9208293
1, 10, 0, 0, 0, 0, 316.9228571428571, 0.008341628955785715, 1672197723.1544614
2, 10, 0, 0, 0, 0, 264.4971428571428, 0.00853877465968286, 1614971370.9768252
3, 10, 0, 0, 0, 0, 265.1685714285714, 0.008410555290425715, 1830828060.0381756
4, 10, 0, 0, 0, 0, 178.9057142857143, 0.00689640033514, 2212020259.860986
5, 10, 0, 0, 0, 0, 166.90000000000003, 0.0066111539951657135, 2487105168.6741858
6, 10, 0, 0, 0, 0, 176.40857142857143, 0.007353380860608573, 2714403045.5957613
7, 10, 0, 0, 0, 0, 157.96857142857147, 0.007323200258660001, 2527362718.154653
8, 10, 0, 0, 0, 0, 141.16857142857143, 0.007536816969322857, 2637037986.3486643
9, 10, 0, 0, 0, 0, 153.37714285714284, 0.007891599031345713, 2384126866.4716973
10, 10, 0, 0, 0, 0, 160.77142857142857, 0.008065168343331429, 2495422689.5866623
11, 10, 0, 0, 0, 0, 218.14000000000001, 0.009500379172654286, 2062012188.2584405
12, 10, 0, 0, 0, 0, 237.07999999999998, 0.010345150892685714, 1664618025.0843015
13, 10, 0, 0, 0, 0, 199.06, 0.009002320019900001, 2033742917.586742
14, 10, 0, 0, 0, 0, 315.6428571428571, 0.01098046255694286, 1426470729.807919
15, 10, 0, 0, 0, 0, 290.9428571428572, 0.010717718122322858, 1445551337.8772843
