gen,pop_size,TotalLostPackets_media,delayMedio_media,throughputMedioBPS_media,simulations_count
40, 10, 309.8714285714285, 0.011583852073611428, 1103474410.259284, 298
41, 10, 250.74571428571426, 0.010846896067594284, 1164766043.1602309, 305
42, 10, 324.06571428571425, 0.011619855901922858, 1068638384.3294182, 313
43, 10, 351.29999999999995, 0.011012369746048573, 1140766153.291989, 319
44, 10, 379.19714285714286, 0.010830074560828571, 1157082835.0267148, 326
45, 10, 427.1742857142857, 0.011801944785782859, 1078772770.0266223, 333
46, 10, 355.88, 0.011010864547125713, 1239521003.5202165, 340
47, 10, 415.2314285714286, 0.011339362674557143, 1125837913.1759832, 348
48, 10, 303.02857142857147, 0.01153195343583714, 1087192894.0120976, 356
49, 10, 264.01428571428573, 0.011148939065834286, 1139744288.5405993, 364
50, 10, 293.6742857142857, 0.010913732234377143, 1160335736.9093702, 371
1, 15, 367.5942857142857, 0.011170916021942857, 1086044807.1120932, 14
2, 15, 265.7, 0.012319365903342858, 959507972.066309, 28
3, 15, 265.4485714285714, 0.012340999231062858, 940426923.6034044, 42
4, 15, 360.7714285714286, 0.01317035753346, 925726298.534742, 55
5, 15, 353.7628571428572, 0.01288447875569143, 948566769.4651728, 68
6, 15, 393.66, 0.012526465627471428, 979495519.4632728, 80
7, 15, 372.85714285714283, 0.01265814326522, 974575976.8171759, 93
8, 15, 352.16, 0.012483800072368574, 981640980.2524853, 105
9, 15, 317.2257142857143, 0.012468129039945717, 974738951.1712307, 118
10, 15, 390.5028571428571, 0.012548443144234287, 981982731.1918476, 129
11, 15, 352.7, 0.012855667774074283, 961178252.0480196, 142
12, 15, 349.5771428571428, 0.013032963818017143, 939982291.6289732, 154
13, 15, 282.2685714285714, 0.012493042114137145, 941009458.1760986, 166
14, 15, 283.0142857142857, 0.0129191854644, 934948870.8825142, 179
15, 15, 264.9685714285714, 0.012820057647605715, 947052413.8578304, 192
16, 15, 404.5257142857143, 0.013088474249017143, 951194301.889053, 203
17, 15, 357.28571428571433, 0.012811392068185715, 970981619.5734274, 215
18, 15, 348.33714285714285, 0.012894443373914285, 962690244.4476141, 226
19, 15, 344.90857142857146, 0.012914328065945713, 952349080.9681343, 238
20, 15, 321.4771428571429, 0.012681935669877142, 966610535.1194503, 250
21, 15, 331.1, 0.012731039458962857, 964110164.94972, 262
22, 15, 349.06857142857143, 0.012420397261657144, 984614601.0446469, 274
23, 15, 350.1028571428571, 0.012765474073728572, 982785093.9112974, 286
24, 15, 352.5257142857143, 0.012781902352462857, 983771624.76537, 297
25, 15, 338.95142857142855, 0.012371837374251427, 997393072.8097336, 309
26, 15, 358.93142857142857, 0.012564225030519998, 996328324.5681314, 320
27, 15, 355.14571428571423, 0.012146547661091429, 1000652948.9951677, 331
28, 15, 358.01714285714286, 0.012260464019000002, 1005045913.5393775, 342
29, 15, 412.70285714285717, 0.012364554755994284, 1004715294.4379162, 354
30, 15, 336.75428571428563, 0.012121795891962857, 1034072952.9986591, 365
31, 15, 401.68285714285713, 0.011245387568865714, 1113777089.9911723, 377
32, 15, 343.74857142857144, 0.012390363003237141, 1001076636.5516142, 388
33, 15, 339.6114285714286, 0.01247867725366857, 995412343.2235092, 400
34, 15, 361.14285714285717, 0.011867425090017142, 1074072038.0190892, 411
35, 15, 421.6142857142857, 0.013349288729419997, 967235642.1733961, 422
36, 15, 434.35714285714283, 0.013402758745580001, 957905807.5692024, 434
37, 15, 429.7171428571429, 0.01281515107285143, 985906563.4570897, 445
38, 15, 350.9485714285714, 0.012241453286068571, 999242348.4325949, 456
39, 15, 413.6028571428572, 0.011639461888874285, 1080854012.7500741, 467
40, 15, 332.53999999999996, 0.01231834980958857, 997803895.3848922, 479
41, 15, 315.2257142857142, 0.012218337718045714, 1001216185.1152643, 490
42, 15, 307.0314285714286, 0.011143938700651428, 1153055855.8021684, 501
43, 15, 325.43999999999994, 0.011965329019162859, 1055178668.1578398, 512
44, 15, 362.84857142857146, 0.012422877366948573, 992953878.3051392, 523
45, 15, 328.72285714285715, 0.012099205709, 1018099754.906032, 535
46, 15, 324.0028571428571, 0.011830659002594284, 1039488994.1534693, 545
47, 15, 342.18, 0.011900016688817145, 1091241342.50323, 557
48, 15, 328.98285714285714, 0.012493455352328573, 1012852389.0669854, 568
49, 15, 311.0114285714286, 0.012197580299591431, 998870189.3568445, 580
50, 15, 217.38571428571427, 0.011730154359414286, 1038865138.1108735, 591
1, 20, 251.9, 0.012508445198622858, 939130073.4929224, 18
2, 20, 237.82000000000002, 0.012554785241382857, 943336441.4748933, 37
3, 20, 236.89428571428576, 0.01222053658488, 1016920038.2077591, 55
4, 20, 242.57714285714286, 0.01313225268258, 909921323.9568517, 73
5, 20, 229.89142857142855, 0.012133143258274286, 972261390.7222569, 91
6, 20, 222.03428571428572, 0.012771070742425714, 910277128.4292942, 109
7, 20, 284.5142857142857, 0.013264939108182858, 907573221.1743085, 127
8, 20, 362.71714285714285, 0.012753689439531429, 931122356.9899184, 144
9, 20, 342.5857142857143, 0.01270196806117714, 937222843.1007725, 161
10, 20, 316.0714285714286, 0.01261062218546857, 939620932.2369845, 178
11, 20, 318.34857142857146, 0.012566443591862857, 943331956.4283516, 195
12, 20, 340.62857142857143, 0.012255046120797142, 977103497.5306839, 212
13, 20, 332.5657142857143, 0.011909972037131428, 982882621.098974, 228
14, 20, 403.5714285714286, 0.011634769261025715, 1023602271.607535, 245
15, 20, 278.2028571428571, 0.01230146088037143, 1017662814.9797112, 261
16, 20, 210.67428571428573, 0.01180960460466, 1007391877.2749956, 276
17, 20, 241.29142857142855, 0.012582254358568573, 922489413.9192013, 291
18, 20, 298.81714285714287, 0.012761298864634285, 923124799.8977013, 306
19, 20, 325.3, 0.012646591322500001, 937708706.403719, 321
20, 20, 377.44, 0.012603609580422859, 943770703.8055893, 335
21, 20, 289.5971428571428, 0.012377674728625714, 966829931.7470089, 348
22, 20, 292.1685714285714, 0.012581120474605714, 937307083.87719, 361
23, 20, 311.49428571428564, 0.01260206909254857, 941356774.7565285, 375
24, 20, 244.5085714285714, 0.01213868848866857, 962721766.0932373, 389
25, 20, 328.65142857142854, 0.012790550727402858, 931076671.8212681, 403
26, 20, 372.0342857142857, 0.013008756324211428, 923913841.8302314, 418
27, 20, 313.9314285714286, 0.01281462431226286, 925306109.697929, 432
28, 20, 307.04285714285714, 0.012921299259754288, 926715766.8128631, 446
29, 20, 289.38, 0.012718263989505716, 952515054.719499, 462
30, 20, 285.62, 0.012256554357871428, 963087903.4442466, 476
31, 20, 287.90285714285716, 0.012514707513774287, 959647060.0168117, 491
32, 20, 302.96857142857147, 0.012660479209257142, 960880470.729715, 505
33, 20, 367.36571428571426, 0.01279959032802, 970749571.7990148, 519
34, 20, 373.1228571428572, 0.0125226913932, 961175156.9683361, 533
35, 20, 378.53999999999996, 0.013117551286051429, 949101055.7663462, 546
36, 20, 340.5257142857143, 0.0132560866433, 953295586.1519123, 560
37, 20, 325.4, 0.01264057532791143, 976477479.9461839, 574
38, 20, 328.2342857142857, 0.012766441248085713, 945618292.0579487, 588
39, 20, 351.5857142857143, 0.012938809898614286, 944171171.4265629, 602
40, 20, 366.24, 0.012846482781760002, 929195777.1065117, 616
41, 20, 401.9971428571429, 0.013427965442288572, 919889974.7211568, 629
42, 20, 360.5314285714286, 0.013299055275588573, 920040824.848987, 642
43, 20, 326.93714285714293, 0.013124498308625715, 928822225.7019936, 657
44, 20, 326.46571428571434, 0.013178737505160002, 926186496.1180363, 669
45, 20, 296.16285714285715, 0.013038124052782856, 923755201.0457926, 682
46, 20, 265.75142857142856, 0.012765442393748572, 922717962.7288015, 695
47, 20, 237.80857142857144, 0.012704524613122858, 926708218.1988804, 709
48, 20, 286.93142857142857, 0.013122059803677144, 915110470.3476521, 722
49, 20, 292.31142857142856, 0.013267984402491429, 911560977.0736873, 737
50, 20, 221.2114285714286, 0.012900257062860002, 919358233.6982791, 749
1, 25, 264.90857142857146, 0.01273460164927714, 937095318.5440022, 23
2, 25, 289.27714285714285, 0.013048343078357139, 918805805.8955185, 47
3, 25, 330.4742857142857, 0.013234687823045715, 914164746.1235578, 70
4, 25, 352.5257142857143, 0.013032675770391428, 931064329.9868164, 94
5, 25, 444.3057142857143, 0.013378306430391429, 923000697.1989208, 117
6, 25, 366.8142857142857, 0.012980815702485712, 938431503.4902422, 139
7, 25, 298.6114285714285, 0.012885393491534286, 950048059.6888905, 162
8, 25, 279.9542857142857, 0.012884257510494287, 940552394.4300735, 184
9, 25, 285.8514285714286, 0.01257281577122286, 946611284.8808944, 205
10, 25, 259.0257142857143, 0.012657981827525717, 946644703.3819015, 227
11, 25, 291.51714285714286, 0.012664010064617143, 959288253.8287945, 249
12, 25, 406.92571428571426, 0.012999501093462856, 961557967.2238295, 270
13, 25, 381.1114285714285, 0.013286776305491427, 952225582.9062684, 291
14, 25, 354.60857142857145, 0.012932203771008571, 962846537.6820421, 312
15, 25, 378.57428571428574, 0.012918248660685713, 970146157.1755238, 332
16, 25, 421.5771428571428, 0.012994235243277141, 975877056.9620625, 353
17, 25, 428.7942857142857, 0.012682094554562855, 978915329.3874576, 374
18, 25, 409.2628571428571, 0.012865113341702858, 961409993.4851754, 394
